mcc,description,classification
3435,VALUE RENT-A-CAR,Restricted
3436,AUTOHANSA RENT-A-CAR,Restricted
3437,CITE RENT-A-CAR,Restricted
3438,INTERENT RENT-A-CAR,Restricted
3439,MILLEVILLE RENT-A-CAR,Restricted
3440,VIA ROUTE RENT-A-CAR,Restricted
3441,Car Rental,Restricted
3501,"HOLIDAY INNS, HOLIDAY INN EXPRESS",Pre-Approval
3502,BEST WESTERN HOTELS,Pre-Approval
3503,SHERATON HOTELS,Pre-Approval
3504,HILTON HOTELS,Pre-Approval
3505,FORTE HOTELS,Pre-Approval
3506,GOLDEN TULIP HOTELS,Pre-Approval
3507,FRIENDSHIP INNS,Pre-Approval
3508,"QUALITY INNS, QUALITY SUITES",Pre-Approval
3509,MARRIOTT HOTELS,Pre-Approval
3510,"DAYS INN, DAYSTOP",Pre-Approval
3511,ARABELLA HOTELS,Pre-Approval
3512,INTER-CONTINENTAL HOTELS,Pre-Approval
3513,WESTIN HOTELS,Pre-Approval
3514,Hotels/Motels/Inns/Resorts,Pre-Approval
3515,RODEWAY INNS,Pre-Approval
3516,LA QUINTA MOTOR INNS,Pre-Approval
3517,AMERICANA HOTELS,Pre-Approval
3518,SOL HOTELS,Pre-Approval
3519,PULLMAN INTERNATIONAL HOTELS,Pre-Approval
3520,MERIDIEN HOTELS,Pre-Approval
3521,CREST HOTELS (see FORTE HOTELS),Pre-Approval
3522,TOKYO HOTEL,Pre-Approval
3523,PENNSULA HOTEL,Pre-Approval
3524,WELCOMGROUP HOTELS,Pre-Approval
3525,DUNFEY HOTELS,Pre-Approval
3526,Hotels/Motels/Inns/Resorts,Pre-Approval
3527,DOWNTOWNER-PASSPORT HOTEL,Pre-Approval
3528,"RED LION HOTELS, RED LION INNS",Pre-Approval
3529,CP HOTELS,Pre-Approval
3530,"RENAISSANCE HOTELS, STOUFFER HOTELS",Pre-Approval
3531,ASTIR HOTELS,Pre-Approval
3532,SUN ROUTE HOTELS,Pre-Approval
3533,HOTEL IBIS,Pre-Approval
3534,SOUTHERN PACIFIC HOTELS,Pre-Approval
3535,HILTON INTERNATIONAL,Pre-Approval
3536,AMFAC HOTELS,Pre-Approval
3537,ANA HOTEL,Pre-Approval
3538,CONCORDE HOTELS,Pre-Approval
3539,Hotels/Motels/Inns/Resorts,Pre-Approval
3540,IBEROTEL HOTELS,Pre-Approval
3541,HOTEL OKURA,Pre-Approval
3542,ROYAL HOTELS,Pre-Approval
3543,FOUR SEASONS HOTELS,Pre-Approval
3544,CIGA HOTELS,Pre-Approval
3545,SHANGRI-LA INTERNATIONAL,Pre-Approval
3546,Hotels/Motels/Inns/Resorts,Pre-Approval
3547,Hotels/Motels/Inns/Resorts,Pre-Approval
3548,HOTELES MELIA,Pre-Approval
3549,AUBERGE DES GOVERNEURS,Pre-Approval
3550,REGAL 8 INNS,Pre-Approval
3551,Hotels/Motels/Inns/Resorts,Pre-Approval
